frame_idx,track_id,similarity_score,is_target,bbox_x1,bbox_y1,bbox_x2,bbox_y2
0,1,1.0,True,136,358,302,852
0,2,0.8545,True,329,368,494,845
0,3,0.4345,False,1668,97,1919,1071
0,4,0.6081,False,1415,444,1523,732
0,5,0.7692,True,505,350,673,835
0,6,0.5667,False,719,413,880,783
0,7,0.6191,False,869,201,1150,1077
0,8,0.5601,False,633,443,713,748
0,9,0.4546,False,1344,433,1408,651
0,10,0.608,False,1586,263,1710,848
0,11,0.6051,False,480,431,540,725
0,12,0.4476,False,790,408,890,691
0,13,0.5852,False,710,452,784,641
0,14,0.604,False,483,429,538,626
1,1,1.0,True,136,358,302,852
1,2,0.8546,True,329,368,494,845
1,3,0.4344,False,1668,97,1919,1071
1,4,0.6073,False,1415,444,1523,732
1,5,0.7666,True,505,350,672,835
1,6,0.565,False,719,413,881,783
1,7,0.6183,False,869,201,1149,1077
1,8,0.5599,False,633,443,713,748
1,9,0.4553,False,1343,433,1408,651
1,10,0.612,False,1586,265,1710,849
1,11,0.6062,False,480,431,540,725
1,12,0.4534,False,790,408,891,692
1,13,0.5861,False,710,452,784,641
1,14,0.6043,False,483,429,538,627
2,1,1.0,True,136,358,302,852
2,2,0.8546,True,329,368,494,845
2,3,0.4344,False,1668,97,1919,1071
2,4,0.6073,False,1415,444,1523,732
2,5,0.7667,True,505,350,672,835
2,6,0.5649,False,719,413,881,783
2,7,0.6183,False,869,201,1149,1077
2,8,0.5602,False,633,443,713,748
2,9,0.4554,False,1343,433,1408,651
2,10,0.6119,False,1586,265,1710,849
2,11,0.6061,False,480,431,540,725
2,12,0.4534,False,790,408,891,692
2,13,0.5861,False,710,452,784,641
2,14,0.6043,False,483,429,538,626
3,1,0.9938,True,136,360,301,851
3,2,0.8493,True,329,370,493,844
3,3,0.4549,False,1667,98,1919,1071
3,4,0.6085,False,1417,440,1526,732
3,5,0.7684,True,500,352,667,834
3,6,0.5544,False,721,421,880,783
3,7,0.6196,False,864,205,1142,1074
3,8,0.5596,False,633,445,713,748
3,9,0.4605,False,1345,433,1410,652
3,10,0.6035,False,1581,295,1699,843
3,11,0.6543,False,480,430,543,744
3,12,0.4602,False,791,413,893,702
3,13,0.5672,False,716,458,788,642
3,14,0.5858,False,485,426,536,612
4,1,0.9886,True,136,364,300,851
4,2,0.8447,True,328,372,490,844
4,3,0.4726,False,1666,99,1918,1071
4,4,0.5629,False,1418,450,1524,732
4,5,0.7574,True,491,353,658,835
4,6,0.5419,False,721,425,879,783
4,7,0.6112,False,861,206,1137,1070
4,8,0.5503,False,631,446,711,749
4,9,0.4629,False,1344,433,1409,652
4,10,0.5971,False,1578,318,1696,843
4,11,0.644,False,478,431,542,752
4,13,0.5635,False,718,460,789,644
5,1,0.9832,True,136,367,298,850
5,2,0.8321,True,325,375,487,842
5,3,0.4978,False,1669,104,1919,1070
5,4,0.5903,False,1419,442,1528,732
5,5,0.7611,True,487,358,653,835
5,6,0.5415,False,720,427,877,783
5,7,0.616,False,857,210,1131,1069
5,8,0.5264,False,629,443,711,750
5,9,0.4562,False,1345,433,1410,651
5,10,0.6069,False,1578,342,1699,848
6,1,0.9784,True,136,370,297,850
6,2,0.8294,True,321,377,482,842
6,3,0.5716,False,1673,133,1916,1070
6,4,0.6171,False,1421,436,1533,734
6,5,0.7476,True,481,361,647,834
6,6,0.5264,False,721,429,876,782
6,7,0.5958,False,851,212,1123,1071
6,8,0.5159,False,628,442,712,752
6,9,0.4604,False,1346,434,1411,651
6,10,0.5532,False,1576,365,1700,849
7,1,0.9691,True,136,372,297,850
7,2,0.8328,True,317,379,478,842
7,3,0.5787,False,1682,170,1916,1071
7,4,0.5974,False,1423,435,1535,734
7,5,0.7694,True,480,365,644,832
7,6,0.5077,False,721,429,876,783
7,7,0.6139,False,847,216,1118,1071
7,8,0.5364,False,628,442,712,753
7,9,0.4599,False,1346,434,1411,649
7,10,0.5763,False,1572,375,1700,846
8,1,0.9653,True,136,373,296,851
8,2,0.8146,True,310,378,472,842
8,3,0.5869,False,1694,235,1892,977
8,4,0.6073,False,1427,433,1539,734
8,5,0.7571,True,480,364,645,831
8,6,0.5206,False,724,433,877,783
8,7,0.5907,False,859,226,1129,1072
8,8,0.5228,False,629,444,713,754
8,9,0.4568,False,1345,433,1410,649
8,10,0.5564,False,1562,376,1701,858
8,20,0.6067,False,1402,468,1464,644
9,1,0.9472,True,135,373,295,849
9,2,0.8125,True,308,378,467,834
9,3,0.5473,False,1695,266,1882,939
9,4,0.6096,False,1438,444,1546,732
9,5,0.7808,True,482,364,646,831
9,6,0.5612,False,726,433,878,783
9,7,0.6255,False,852,237,1120,1072
9,8,0.5302,False,630,445,715,754
9,9,0.4511,False,1345,434,1410,649
9,10,0.5407,False,1553,380,1699,862
9,20,0.6223,False,1402,470,1463,644
10,1,0.95,True,135,374,295,847
10,2,0.8002,True,306,378,465,829
10,3,0.5266,False,1693,278,1878,923
10,4,0.6089,False,1452,453,1556,729
10,5,0.7566,True,480,364,644,831
10,6,0.5651,False,730,427,883,782
10,7,0.6373,False,833,240,1096,1068
10,8,0.5281,False,632,445,719,754
10,9,0.4534,False,1345,434,1410,648
10,10,0.5346,False,1548,382,1697,849
10,20,0.6234,False,1402,470,1463,644
11,1,0.9566,True,135,374,293,842
11,2,0.8038,True,301,376,460,827
11,3,0.5987,False,1689,292,1877,924
11,4,0.5922,False,1458,440,1568,735
11,5,0.7535,True,482,365,647,832
11,6,0.5886,False,741,426,890,777
11,7,0.6404,False,825,245,1083,1065
11,8,0.5298,False,635,445,723,754
11,9,0.4499,False,1345,435,1409,647
11,10,0.5449,False,1551,378,1702,838
11,20,0.6314,False,1402,469,1464,645
11,24,0.4932,False,1815,373,1909,824
12,1,0.9561,True,133,373,292,838
12,2,0.8225,True,297,374,457,826
12,3,0.6114,False,1684,298,1878,926
12,4,0.5916,False,1455,433,1563,728
12,5,0.7335,True,479,366,642,830
12,6,0.6236,False,752,424,898,775
12,7,0.6019,False,822,267,1069,1054
12,8,0.5188,False,636,442,726,754
12,9,0.4612,False,1345,435,1410,647
12,10,0.5724,False,1539,380,1693,835
12,20,0.6315,False,1403,469,1465,645
12,24,0.5764,False,1814,403,1903,823
12,26,0.668,False,1500,460,1592,831
13,1,0.9561,True,130,373,290,835
13,2,0.8294,True,291,372,452,825
13,3,0.6169,False,1680,302,1880,926
13,4,0.5699,False,1450,431,1556,724
13,5,0.7407,True,473,363,636,828
13,7,0.5929,False,816,263,1061,1043
13,8,0.5224,False,636,441,728,754
13,9,0.4615,False,1345,435,1410,647
13,10,0.5767,False,1530,378,1688,837
13,20,0.6323,False,1403,469,1465,645
13,13,0.4307,False,719,487,800,696
14,1,0.945,True,127,373,288,832
14,2,0.825,True,289,372,448,824
14,3,0.615,False,1676,303,1882,925
14,4,0.548,False,1447,432,1549,723
14,5,0.7412,True,470,362,631,821
14,7,0.5855,False,813,261,1059,1044
14,8,0.5125,False,639,439,734,755
14,9,0.4614,False,1345,434,1410,647
14,10,0.589,False,1518,373,1680,837
14,20,0.6314,False,1403,469,1465,645
14,13,0.41,False,724,486,805,701
15,1,0.9461,True,125,373,287,831
15,2,0.8147,True,287,371,446,821
15,3,0.6425,False,1672,303,1884,925
