frame_idx,track_id,similarity_score,is_target,bbox_x1,bbox_y1,bbox_x2,bbox_y2
0,1,0.611,False,136,358,302,852
0,2,0.5809,False,330,369,494,846
0,3,0.381,False,1668,97,1919,1071
0,4,0.5141,False,1415,442,1521,733
0,5,0.5134,False,719,411,883,783
0,6,0.5833,False,504,350,675,835
0,7,1.0,True,869,200,1149,1077
0,8,0.5803,False,632,444,711,748
0,9,0.4663,False,1343,432,1409,652
0,10,0.5096,False,1587,261,1707,848
0,11,0.5665,False,481,431,540,724
0,12,0.5273,False,483,428,537,634
1,1,0.611,False,136,358,302,852
1,2,0.5806,False,330,369,494,846
1,3,0.3808,False,1668,97,1919,1071
1,4,0.5207,False,1415,442,1521,732
1,5,0.5129,False,719,411,883,783
1,6,0.5803,False,504,350,676,835
1,7,0.9996,True,870,200,1150,1077
1,8,0.5794,False,632,444,711,748
1,9,0.4653,False,1343,432,1409,652
1,10,0.5087,False,1587,262,1707,848
1,11,0.5653,False,481,431,539,724
1,12,0.5277,False,483,428,537,632
2,1,0.6111,False,136,358,302,852
2,2,0.5808,False,330,369,494,846
2,3,0.3809,False,1668,97,1919,1071
2,4,0.5208,False,1415,442,1521,732
2,5,0.5129,False,719,411,883,783
2,6,0.5804,False,504,350,676,835
2,7,0.9996,True,870,200,1150,1077
2,8,0.5804,False,632,444,712,748
2,9,0.4658,False,1343,432,1409,652
2,10,0.5095,False,1587,261,1707,848
2,11,0.5655,False,481,431,539,724
2,12,0.5239,False,483,428,537,631
3,1,0.6208,False,136,360,300,851
3,2,0.5766,False,329,370,492,844
3,3,0.4051,False,1667,99,1918,1072
3,4,0.4966,False,1418,440,1525,732
3,5,0.5097,False,722,422,881,783
3,6,0.5863,False,498,352,669,834
3,7,0.9954,True,865,202,1143,1075
3,8,0.554,False,631,444,710,748
3,9,0.4692,False,1344,432,1410,652
3,10,0.5198,False,1582,289,1698,844
3,11,0.6226,False,481,430,543,741
3,12,0.4868,False,486,427,536,615
4,1,0.63,False,136,364,299,851
4,2,0.5836,False,327,372,490,844
4,3,0.4275,False,1667,99,1918,1071
4,4,0.4734,False,1419,450,1523,733
4,5,0.4918,False,721,427,878,783
4,6,0.5661,False,489,353,660,835
4,7,0.9909,True,862,205,1138,1070
4,8,0.5135,False,630,445,709,749
4,9,0.4684,False,1344,432,1410,652
4,10,0.526,False,1579,316,1694,843
4,11,0.6454,False,478,430,542,751
5,1,0.6292,False,137,367,299,851
5,2,0.5866,False,325,375,486,843
5,3,0.4469,False,1670,105,1919,1070
5,4,0.4847,False,1420,444,1527,732
5,5,0.4744,False,720,429,876,783
5,6,0.5524,False,485,357,656,835
5,7,0.983,True,857,208,1130,1069
5,8,0.5113,False,629,442,710,751
5,9,0.4719,False,1345,433,1410,652
5,10,0.4695,False,1579,341,1697,848
6,1,0.6346,False,137,370,298,850
6,2,0.6026,False,321,377,481,842
6,3,0.5234,False,1673,131,1916,1070
6,4,0.507,False,1422,437,1531,734
6,5,0.4638,False,721,431,876,782
6,6,0.5755,False,480,361,649,834
6,7,0.9683,True,850,212,1121,1071
6,8,0.5076,False,628,442,711,752
6,9,0.463,False,1345,433,1411,651
6,10,0.4903,False,1578,365,1698,849
7,1,0.6337,False,137,372,297,850
7,2,0.5835,False,316,378,477,842
7,3,0.5228,False,1682,168,1916,1070
7,4,0.5077,False,1424,435,1534,734
7,5,0.4521,False,721,430,876,783
7,6,0.5691,False,478,364,646,832
7,7,0.9627,True,849,214,1119,1071
7,8,0.4925,False,629,443,712,753
7,9,0.4595,False,1345,434,1411,651
7,10,0.4891,False,1573,375,1698,846
8,1,0.6149,False,136,373,296,850
8,2,0.5782,False,311,378,472,841
8,3,0.5535,False,1694,235,1892,979
8,4,0.5241,False,1428,433,1538,734
8,5,0.4685,False,724,432,878,782
8,6,0.5694,False,479,365,646,830
8,7,0.9541,True,856,223,1127,1071
8,8,0.4726,False,629,443,714,754
8,9,0.452,False,1344,433,1410,650
8,10,0.4798,False,1564,376,1700,859
9,1,0.5961,False,135,373,295,849
9,2,0.5537,False,308,378,467,835
9,3,0.5193,False,1695,265,1882,940
9,4,0.5159,False,1440,446,1546,732
9,5,0.4782,False,725,431,878,781
9,6,0.5827,False,480,364,647,830
9,7,0.9558,True,852,234,1119,1071
9,8,0.4857,False,630,444,715,753
9,9,0.4518,False,1344,433,1410,650
9,10,0.4706,False,1555,380,1698,861
9,18,0.4703,False,1402,472,1463,644
10,1,0.6038,False,135,373,295,847
10,2,0.552,False,306,378,465,831
10,3,0.5187,False,1693,280,1878,924
10,4,0.4722,False,1452,452,1556,729
10,5,0.5277,False,730,427,883,781
10,6,0.5752,False,479,365,645,831
10,7,0.956,True,834,237,1098,1069
10,8,0.486,False,632,444,719,754
10,9,0.451,False,1344,433,1410,650
10,10,0.466,False,1548,381,1697,857
10,18,0.4692,False,1402,472,1463,644
11,1,0.6164,False,135,373,294,843
11,2,0.5534,False,300,376,460,828
11,3,0.5458,False,1689,293,1877,924
11,4,0.4918,False,1458,441,1567,735
11,5,0.5723,False,741,427,890,777
11,6,0.5741,False,481,365,648,832
11,7,0.9431,True,826,246,1083,1064
11,8,0.4968,False,635,445,722,754
11,9,0.4436,False,1343,431,1409,648
11,10,0.4743,False,1560,383,1705,840
11,18,0.4688,False,1402,473,1463,643
11,21,0.5012,False,1814,370,1910,824
12,1,0.62,False,134,373,292,838
12,2,0.5645,False,296,373,456,826
12,3,0.5771,False,1684,299,1878,926
12,4,0.4895,False,1453,434,1562,732
12,5,0.5963,False,750,422,898,775
12,6,0.5401,False,478,365,644,830
12,7,0.9509,True,824,262,1073,1061
12,8,0.4867,False,636,441,725,754
12,9,0.4492,False,1344,432,1409,648
12,10,0.4723,False,1544,382,1693,836
12,18,0.4764,False,1402,471,1465,644
12,21,0.5854,False,1814,404,1904,823
13,1,0.6085,False,131,373,290,834
13,2,0.5689,False,291,371,451,825
13,3,0.5872,False,1681,303,1880,926
13,4,0.4602,False,1450,432,1555,726
13,5,0.5953,False,756,397,907,770
13,6,0.5201,False,473,364,638,827
13,7,0.9541,True,812,263,1057,1046
13,8,0.4875,False,636,440,727,754
13,9,0.4404,False,1343,432,1409,648
13,10,0.475,False,1532,378,1687,837
13,18,0.4757,False,1403,471,1465,645
13,21,0.6304,False,1810,396,1904,828
14,1,0.6035,False,128,373,288,831
14,2,0.5623,False,289,371,448,824
14,3,0.5766,False,1677,304,1882,925
14,4,0.4608,False,1446,433,1550,728
14,6,0.503,False,471,365,634,823
14,7,0.9391,True,813,261,1059,1045
14,8,0.4869,False,640,440,733,754
14,9,0.4455,False,1344,432,1410,648
14,10,0.4986,False,1519,373,1678,837
14,18,0.4751,False,1403,471,1465,645
15,1,0.5941,False,126,373,287,830
15,2,0.5554,False,287,371,446,821
15,3,0.5748,False,1672,303,1884,925
15,4,0.4747,False,1446,433,1546,727
15,6,0.5251,False,468,361,630,817
15,7,0.936,True,812,256,1058,1043
15,8,0.4847,False,644,437,740,754
15,9,0.4404,False,1343,432,1409,648
15,10,0.4821,False,1508,370,1669,836
15,18,0.475,False,1403,471,1465,645
15,30,0.4329,False,732,490,800,698
16,1,0.5821,False,125,373,287,829
16,2,0.5501,False,286,372,444,821
16,3,0.579,False,1667,302,1884,924
16,4,0.493,False,1450,429,1543,706
16,6,0.533,False,463,358,626,813
16,7,0.9158,True,814,254,1055,1026
16,8,0.4956,False,645,437,743,755
16,9,0.443,False,1343,431,1409,649
16,10,0.4768,False,1497,368,1658,833
16,18,0.4769,False,1400,469,1464,645
16,30,0.436,False,736,493,803,696
17,1,0.5855,False,124,374,287,827
17,2,0.5551,False,285,373,442,821
17,3,0.5824,False,1663,299,1887,925
17,4,0.4773,False,1452,428,1534,675
17,6,0.5443,False,462,358,625,813
17,7,0.9128,True,817,253,1056,1017
17,8,0.5022,False,647,435,748,757
17,9,0.4408,False,1343,432,1409,648
17,10,0.4856,False,1487,370,1648,832
17,18,0.4777,False,1402,470,1465,644
17,30,0.4561,False,740,494,806,697
17,32,0.4808,False,1100,465,1158,700
18,1,0.5889,False,123,375,286,826
18,2,0.5669,False,283,378,439,822
18,3,0.5958,False,1657,294,1890,931
18,4,0.4554,False,1453,427,1526,649
18,6,0.5247,False,458,361,621,812
18,7,0.9325,True,814,250,1050,1008
