timestamp,track_id,raw_score,smoothed_val,voting_ready,bbox_x1,bbox_y1,bbox_x2,bbox_y2
1786539050.0298486,1000,0.6325,0.6325,True,128,205,360,475
1786539050.3389335,1000,0.6346,0.6331,True,120,204,360,475
1786539050.3389335,1001,0.523,0.523,True,400,312,469,356
1786539050.6074939,1000,0.8293,0.692,True,0,154,107,471
1786539050.6074939,1001,0.6172,0.5513,True,136,205,360,476
1786539050.8265357,1000,0.8621,0.743,True,0,5,203,472
1786539051.1045806,1000,0.8654,0.7797,True,3,1,317,474
1786539051.2948277,1000,0.8908,0.8131,True,4,0,352,476
1786539051.2948277,1001,0.677,0.677,True,590,88,639,471
1786539051.2948277,1002,0.8416,0.8416,True,441,104,639,474
1786539051.6326723,7,0.874,0.874,True,41,8,329,464
1786539051.8201606,7,0.8727,0.8736,True,43,3,282,474
1786539052.0172894,7,0.8766,0.8745,True,56,4,447,475
1786539052.201036,7,0.8769,0.8752,True,89,1,398,478
1786539052.4163013,7,0.8654,0.8723,True,131,10,451,480
1786539052.610141,7,0.8418,0.8631,True,144,5,586,480
1786539052.8169267,7,0.8641,0.8634,True,171,5,499,479
1786539053.0227592,7,0.8536,0.8605,True,161,12,448,471
1786539053.2171478,7,0.8687,0.863,True,97,13,342,476
1786539053.4105275,7,0.9111,0.8774,True,12,6,273,472
1786539053.617815,7,0.8611,0.8725,True,0,2,213,469
1786539053.617815,10,0.7166,0.7166,True,120,53,604,443
1786539053.8420699,7,0.9226,0.8875,True,2,2,181,473
1786539053.8420699,10,0.7045,0.7129,True,166,73,635,471
1786539054.0788789,7,0.9215,0.8977,True,0,0,181,474
1786539054.0788789,10,0.6983,0.7085,True,223,75,640,474
1786539054.305569,7,0.8908,0.8956,True,4,1,216,473
1786539054.305569,10,0.7074,0.7082,True,256,75,640,474
1786539054.5274909,7,0.9056,0.8986,True,0,0,249,473
1786539054.5274909,10,0.6996,0.7056,True,244,76,639,474
1786539054.7530363,7,0.9052,0.9006,True,0,1,276,477
1786539054.7530363,10,0.6933,0.7019,True,164,84,640,480
1786539054.977397,7,0.907,0.9025,True,0,2,278,477
1786539054.977397,10,0.7197,0.7073,True,226,82,581,475
1786539055.2019746,7,0.9024,0.9025,True,0,2,270,476
1786539055.2019746,10,0.7418,0.7176,True,230,75,509,475
1786539055.42556,7,0.8709,0.893,True,0,0,274,476
1786539055.42556,10,0.7399,0.7243,True,201,74,456,475
1786539055.6499898,7,0.8237,0.8722,True,0,2,320,473
1786539055.6499898,10,0.8482,0.7615,True,189,77,383,474
1786539055.8733475,7,0.7794,0.8444,True,0,0,403,474
1786539056.0610867,7,0.8133,0.8351,True,3,0,478,473
1786539056.242076,7,0.7921,0.8222,True,0,0,510,475
1786539056.4331071,7,0.7142,0.7898,True,0,1,468,476
1786539056.6267004,7,0.8407,0.8051,True,1,0,372,474
1786539056.8336124,7,0.8628,0.8224,True,0,1,249,474
1786539057.0258436,1000,0.6893,0.6893,True,130,81,525,473
