timestamp,track_id,raw_score,smoothed_val,voting_ready,bbox_x1,bbox_y1,bbox_x2,bbox_y2
1786536892.3793192,1,0.8605,0.8605,True,225,23,502,475
1786536892.855214,1,0.8555,0.859,True,259,24,506,476
1786536893.015252,1,0.8561,0.8582,True,266,25,502,476
1786536893.1099825,1,0.8554,0.8573,True,266,25,499,475
1786536893.2175744,1,0.8537,0.8562,True,264,26,496,476
1786536893.2175744,2,0.7619,0.7619,True,119,202,310,474
1786536893.4707577,1,0.8649,0.8588,True,255,29,494,475
1786536893.4707577,2,0.7757,0.766,True,120,201,309,474
1786536893.5857298,1,0.8544,0.8575,True,252,27,495,475
1786536893.5857298,2,0.7637,0.7653,True,121,201,308,474
1786536893.6970265,1,0.8441,0.8535,True,255,23,493,476
1786536893.6970265,2,0.7707,0.7669,True,121,202,304,475
1786536893.8094447,1,0.8298,0.8464,True,257,23,497,476
1786536893.8094447,2,0.7813,0.7712,True,120,202,301,474
1786536893.9216888,1,0.8338,0.8426,True,257,24,508,476
1786536893.9216888,2,0.7617,0.7684,True,120,201,305,475
1786536894.1110458,1,0.8334,0.8398,True,275,28,533,475
1786536894.1110458,2,0.7933,0.7758,True,123,201,317,475
1786536894.2100015,1,0.8348,0.8383,True,292,29,552,476
1786536894.2100015,2,0.7692,0.7738,True,123,201,330,475
1786536894.3218842,1,0.8091,0.8295,True,309,30,574,475
1786536894.3218842,2,0.7704,0.7728,True,125,201,345,475
1786536894.4246614,1,0.7992,0.8204,True,325,29,589,475
1786536894.4246614,2,0.7235,0.758,True,125,201,350,475
1786536894.530299,1,0.7696,0.8052,True,341,30,599,475
1786536894.530299,2,0.7369,0.7517,True,125,200,355,476
1786536894.641314,1,0.7786,0.7972,True,347,30,601,474
1786536894.641314,2,0.7252,0.7437,True,123,200,360,475
1786536894.7403076,1,0.7876,0.7943,True,344,31,599,474
1786536894.7403076,2,0.7003,0.7307,True,125,200,360,475
1786536894.849138,1,0.8068,0.7981,True,335,30,593,474
1786536894.849138,2,0.7255,0.7291,True,123,201,357,475
1786536894.9461432,1,0.8005,0.7988,True,330,30,583,474
1786536894.9461432,2,0.7412,0.7328,True,126,201,354,474
1786536895.054372,1,0.8325,0.8089,True,316,32,561,475
1786536895.054372,2,0.7415,0.7354,True,123,200,348,475
1786536895.2646785,1,0.8401,0.8182,True,285,33,516,474
1786536895.2646785,2,0.7627,0.7436,True,123,201,329,475
1786536895.3767133,1,0.8406,0.825,True,265,34,500,475
1786536895.3767133,2,0.7591,0.7482,True,120,201,315,474
1786536895.4887493,1,0.8535,0.8335,True,250,32,484,475
1786536895.4887493,2,0.7621,0.7524,True,120,201,307,475
1786536895.601518,1,0.8653,0.843,True,236,32,468,475
1786536895.601518,2,0.7462,0.7505,True,121,203,294,475
1786536895.7296784,1,0.8526,0.8459,True,228,30,459,476
1786536895.7296784,2,0.7512,0.7507,True,120,205,284,475
1786536895.8279598,1,0.8468,0.8462,True,225,28,450,476
1786536895.8279598,2,0.7361,0.7464,True,120,205,272,475
1786536895.9363043,1,0.8542,0.8486,True,222,28,444,476
1786536895.9363043,2,0.7274,0.7407,True,121,207,266,475
1786536896.0338292,1,0.8523,0.8497,True,219,28,437,476
1786536896.0338292,2,0.7277,0.7368,True,120,208,256,475
1786536896.1286297,1,0.8455,0.8484,True,211,26,431,476
1786536896.1286297,2,0.716,0.7305,True,120,211,248,475
1786536896.2413013,1,0.8354,0.8445,True,203,22,426,476
1786536896.2413013,2,0.7019,0.7219,True,120,215,239,475
1786536896.413328,1,0.8403,0.8433,True,183,19,424,476
1786536896.413328,2,0.7061,0.7172,True,120,217,231,476
1786536896.515539,1,0.7775,0.8235,True,159,19,422,477
1786536896.6262977,1,0.8091,0.8192,True,149,15,419,477
