timestamp,track_id,raw_score,smoothed_val,voting_ready,bbox_x1,bbox_y1,bbox_x2,bbox_y2
1786536976.8350294,1,0.7601,0.7601,True,288,2,563,476
1786536977.2574391,1,0.7249,0.7495,True,261,1,634,474
1786536977.3656142,1,0.7454,0.7483,True,251,0,636,474
1786536977.4855492,1,0.7339,0.7439,True,256,1,637,474
1786536977.5864756,1,0.7578,0.7481,True,230,1,626,472
1786536977.682535,1,0.7664,0.7536,True,211,1,612,474
1786536977.779099,1,0.7388,0.7491,True,195,0,542,474
1786536977.8729036,1,0.7446,0.7478,True,129,1,514,474
1786536977.9710214,1,0.7748,0.7559,True,107,1,492,474
1786536978.0671694,1,0.7617,0.7576,True,119,1,485,475
1786536978.162868,1,0.7765,0.7633,True,117,1,481,474
1786536978.2590697,1,0.7598,0.7622,True,121,1,493,474
1786536978.3492577,1,0.7683,0.764,True,122,1,492,475
1786536978.449898,1,0.7868,0.7709,True,123,0,489,475
1786536978.6086867,1,0.7748,0.7721,True,117,1,493,476
1786536978.7068825,1,0.7434,0.7635,True,123,0,516,476
1786536978.8192792,1,0.7433,0.7574,True,130,1,530,476
1786536978.930545,1,0.7392,0.7519,True,195,3,529,476
1786536979.027215,1,0.7412,0.7487,True,213,6,546,475
1786536979.1227612,1,0.7544,0.7504,True,220,7,546,476
1786536979.1227612,3,0.3007,0.3007,True,560,104,640,474
1786536979.3124533,1,0.783,0.7602,True,219,10,553,477
1786536979.3124533,3,0.5054,0.3621,True,538,93,639,472
1786536979.5376155,1,0.767,0.7622,True,210,10,538,474
1786536979.5376155,3,0.556,0.4203,True,515,98,638,470
1786536979.6971264,1,0.774,0.7658,True,183,9,511,473
1786536979.6971264,3,0.6613,0.4926,True,487,105,637,472
1786536979.8104274,1,0.7524,0.7618,True,154,8,492,474
1786536979.8104274,3,0.7293,0.5636,True,471,106,638,473
1786536979.924605,1,0.7577,0.7605,True,128,9,470,475
1786536979.924605,3,0.7454,0.6181,True,449,97,639,474
1786536980.0344381,1,0.7751,0.7649,True,131,8,458,477
1786536980.0344381,3,0.7507,0.6579,True,432,94,639,474
1786536980.1481886,1,0.7831,0.7704,True,125,8,439,474
1786536980.1481886,3,0.7454,0.6841,True,419,92,639,474
1786536980.258696,1,0.7825,0.774,True,123,9,422,475
1786536980.258696,3,0.7588,0.7065,True,410,91,639,474
1786536980.3704724,1,0.7445,0.7652,True,134,8,417,477
1786536980.3704724,3,0.7671,0.7247,True,405,89,639,474
1786536980.4794238,1,0.7388,0.7572,True,127,8,416,474
1786536980.4794238,3,0.768,0.7377,True,405,89,639,473
1786536980.5793161,1,0.7466,0.754,True,126,6,422,475
1786536980.5793161,3,0.7872,0.7525,True,408,91,640,475
1786536980.6887786,1,0.7352,0.7484,True,102,6,422,474
1786536980.6887786,3,0.8126,0.7706,True,411,90,640,474
1786536980.9608757,1,0.7129,0.7377,True,122,6,419,474
1786536980.9608757,3,0.7533,0.7654,True,410,77,639,475
1786536981.0734127,1,0.712,0.73,True,119,7,418,474
1786536981.0734127,3,0.7599,0.7637,True,408,72,639,475
1786536981.1860826,1,0.7405,0.7332,True,128,7,417,474
1786536981.1860826,3,0.7944,0.7729,True,401,69,639,475
1786536981.2992415,1,0.7469,0.7373,True,130,6,416,476
1786536981.2992415,3,0.8022,0.7817,True,384,68,639,477
1786536981.4110146,1,0.7693,0.7469,True,129,6,415,476
