frame_idx,track_id,similarity_score,bbox_x1,bbox_y1,bbox_x2,bbox_y2
0,1,0.7675,136,358,302,852
0,2,0.8318,330,369,494,846
0,3,0.5075,1668,98,1919,1070
0,4,0.6613,1415,443,1522,732
0,5,0.5678,719,411,883,783
0,6,0.58,869,200,1151,1078
0,7,1.0,504,350,676,835
1,1,0.768,136,358,302,852
1,2,0.8319,330,369,494,846
1,3,0.5073,1668,98,1919,1070
1,4,0.6618,1415,443,1522,732
1,5,0.5672,719,411,883,783
1,6,0.58,870,200,1152,1078
1,7,0.9997,505,350,676,835
2,1,0.7677,136,358,302,852
2,2,0.832,330,369,494,846
2,3,0.5074,1668,98,1919,1070
2,4,0.6619,1415,443,1522,732
2,5,0.5673,719,411,883,783
2,6,0.5789,869,200,1152,1078
2,7,0.9997,505,350,676,835
3,1,0.7565,136,361,300,851
3,2,0.8029,328,370,492,844
3,3,0.514,1663,96,1919,1073
3,4,0.6664,1416,440,1528,732
3,5,0.5888,719,424,884,783
3,6,0.5878,865,203,1142,1074
3,7,0.9837,493,352,671,834
4,1,0.763,136,365,299,851
4,2,0.7932,327,372,489,844
4,3,0.5407,1664,99,1919,1071
4,4,0.6165,1416,452,1526,733
4,5,0.6045,719,428,880,783
4,6,0.5773,865,207,1135,1069
4,7,0.9609,484,353,662,836
5,1,0.7529,136,367,298,850
5,2,0.799,323,376,487,843
5,3,0.5621,1670,106,1919,1070
5,4,0.6217,1419,444,1529,732
5,5,0.5817,720,429,876,783
5,6,0.5716,862,207,1122,1070
5,7,0.9486,483,358,658,836
6,1,0.7579,137,371,298,850
6,2,0.8045,316,378,484,842
6,3,0.606,1671,133,1918,1071
6,4,0.6538,1423,436,1532,734
6,5,0.5755,721,431,875,782
6,6,0.5611,858,213,1112,1072
6,7,0.9554,475,362,652,833
7,1,0.7577,137,372,297,851
7,2,0.8243,311,378,480,842
7,3,0.5854,1682,176,1918,1072
7,4,0.6148,1426,435,1534,734
7,5,0.5861,722,429,875,783
7,6,0.5596,852,214,1118,1072
7,7,0.9452,476,365,649,832
7,8,0.5785,1515,363,1760,848
8,1,0.7541,135,372,296,850
8,2,0.8091,307,377,474,841
8,3,0.6315,1663,254,1918,951
8,4,0.598,1429,433,1538,734
8,5,0.616,727,432,876,782
8,6,0.576,848,228,1148,1073
8,7,0.942,480,364,648,829
8,8,0.6147,1508,369,1755,864
9,1,0.7462,133,373,296,849
9,2,0.8119,303,378,471,834
9,3,0.6004,1656,271,1919,931
9,4,0.5889,1439,449,1551,732
9,5,0.6446,730,429,875,781
9,6,0.5908,844,240,1138,1073
9,7,0.9526,482,363,648,830
9,8,0.63,1504,376,1745,862
9,9,0.6035,623,444,721,753
10,1,0.7588,133,373,298,847
10,2,0.7984,300,377,471,829
10,3,0.618,1651,281,1918,924
10,4,0.5184,1448,454,1563,728
10,5,0.6415,741,426,875,781
10,6,0.6061,838,238,1085,1068
10,7,0.948,482,364,643,831
10,8,0.6132,1504,377,1739,856
10,9,0.6106,624,444,728,754
11,1,0.7673,131,373,297,841
11,2,0.8034,297,374,462,827
11,3,0.6519,1646,293,1919,929
11,4,0.5177,1462,440,1563,734
11,5,0.683,757,426,879,776
11,6,0.6061,837,248,1067,1062
11,7,0.9475,482,365,650,833
11,8,0.589,1543,379,1727,835
11,9,0.5888,629,445,730,753
12,1,0.7646,128,373,297,836
12,2,0.8098,294,372,457,826
12,3,0.6891,1642,295,1919,932
12,4,0.5426,1459,432,1554,729
12,5,0.6904,767,420,885,774
12,6,0.5791,832,267,1064,1060
12,7,0.9418,479,364,643,829
12,8,0.6039,1512,378,1715,834
12,9,0.6085,631,440,731,754
13,1,0.7574,122,373,298,834
13,2,0.8092,291,371,450,826
13,3,0.7049,1642,299,1919,931
13,4,0.5607,1457,431,1544,724
13,6,0.5947,810,262,1056,1043
13,7,0.9478,476,364,636,828
13,8,0.5965,1506,373,1706,837
13,9,0.6133,630,440,734,754
